,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,13.0,6.0,2.0,0.0,0.0
1,Cuantitativa,5.0,15.0,22.0,1.0,1.0
2,MIxta,3.0,9.0,10.0,3.0,0.0
