,methodology,Algo de acuerdo,Bastante de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,6.0,1.0,10.0,4.0
1,Cuantitativa,3.0,0.0,33.0,8.0
2,MIxta,1.0,1.0,21.0,2.0
