Measures,Nada de acuerdo,Algo de acuerdo,No sé,Bastante de acuerdo,Muy de acuerdo
Gran parte de los investigadores solamente publica los estudios en donde obtienen diferencias estadísticamente significativas,4,26,4,32,24
A las revistas científicas no les interesa publicar resultados que no son estadísticamente significativos,9,16,3,36,26
Cuando leo un artículo tengo mayor confianza en la calidad del estudio si los resultados son estadísticamente significativos,39,17,6,18,10
Que un resultado no fuera estadísticamente significativo sería un criterio para no seguir investigando esas variables,63,19,5,1,2
"Una conclusión científica (por ejemplo, si un tratamiento es mejor que otro) debe estar basado en si el p-valor es o no es estadísticamente significativo",26,30,5,20,9
