,methodology,"Lo intenté, pero no lo completé","Nunca lo hice, ni escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Sí, lo estoy haciendo","Sí, lo he hecho"
0,Cualitativa,0.0,10.0,9.0,3.0,1.0,0.0
1,Cuantitativa,2.0,10.0,15.0,8.0,6.0,4.0
2,MIxta,0.0,10.0,9.0,4.0,1.0,3.0
