,methodology,Algo de acuerdo,Bastante de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,6.0,1.0,8.0,6.0
1,Cuantitativa,4.0,0.0,34.0,6.0
2,MIxta,6.0,1.0,15.0,3.0
