,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,6.0,0.0,0.0,11.0,4.0
1,Cuantitativa,16.0,3.0,1.0,22.0,2.0
2,MIxta,7.0,5.0,0.0,13.0,0.0
