,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,9.0,7.0,2.0,2.0,3.0
1,Cuantitativa,4.0,21.0,16.0,4.0,0.0
2,MIxta,5.0,10.0,9.0,3.0,0.0
