,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,6.0,7.0,0.0,8.0,0.0
1,Cuantitativa,10.0,14.0,11.0,9.0,0.0
2,MIxta,10.0,6.0,4.0,4.0,1.0
