,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,4.0,2.0,0.0,13.0,2.0
1,Cuantitativa,14.0,14.0,5.0,9.0,2.0
2,MIxta,12.0,4.0,4.0,4.0,1.0
