,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,5,4,2,2,8
1,Cuantitativa,7,4,3,21,9
2,MIxta,7,3,2,8,5
