,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,9.0,3.0,0.0,9.0,0.0
1,Cuantitativa,18.0,4.0,1.0,19.0,2.0
2,MIxta,8.0,3.0,1.0,11.0,2.0
