,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,8.0,7.0,1.0,1.0,4.0
1,Cuantitativa,10.0,16.0,17.0,1.0,0.0
2,MIxta,8.0,9.0,6.0,2.0,0.0
