,methodology,"Lo intenté, pero no lo completé","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Sí, lo estoy haciendo","Sí, lo he hecho"
0,Cualitativa,2,8,3,2,6
1,Cuantitativa,1,3,4,11,25
2,MIxta,1,4,4,7,9
