,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,13.0,5.0,0.0,2.0,2.0
1,Cuantitativa,14.0,15.0,5.0,8.0,3.0
2,MIxta,7.0,11.0,3.0,5.0,1.0
