,methodology,"Lo intenté, pero no lo completé","Nunca lo hice, ni escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Sí, lo estoy haciendo","Sí, lo he hecho"
0,Cualitativa,1.0,3.0,6.0,9.0,0.0,3.0
1,Cuantitativa,0.0,3.0,18.0,9.0,5.0,10.0
2,MIxta,1.0,2.0,8.0,8.0,3.0,5.0
