,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,6.0,4.0,0.0,9.0,2.0
1,Cuantitativa,8.0,10.0,4.0,19.0,3.0
2,MIxta,3.0,4.0,6.0,11.0,1.0
