,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,8.0,3.0,0.0,8.0,3.0
1,Cuantitativa,21.0,10.0,4.0,10.0,0.0
2,MIxta,12.0,5.0,0.0,8.0,2.0
