,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,12.0,4.0,4.0,1.0,1.0
1,Cuantitativa,3.0,8.0,32.0,2.0,0.0
2,MIxta,7.0,5.0,13.0,2.0,0.0
