,methodology,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Cualitativa,6,4,2,2,8
1,Cuantitativa,7,5,3,21,9
2,MIxta,8,3,3,8,5
